Epoka [1/200] | Batch [1061/6813] | Loss: 0.5157
Epoka [1/200] | Batch [1071/6813] | Loss: 0.3490
Epoka [1/200] | Batch [1081/6813] | Loss: 0.2776
Epoka [1/200] | Batch [1091/6813] | Loss: 0.3663
Epoka [1/200] | Batch [1101/6813] | Loss: 0.2500
Epoka [1/200] | Batch [1111/6813] | Loss: 0.3851
Epoka [1/200] | Batch [1121/6813] | Loss: 0.4905
Epoka [1/200] | Batch [1131/6813] | Loss: 0.2647
Epoka [1/200] | Batch [1141/6813] | Loss: 0.2597
Epoka [1/200] | Batch [1151/6813] | Loss: 0.4638
Epoka [1/200] | Batch [1161/6813] | Loss: 0.2336
Epoka [1/200] | Batch [1171/6813] | Loss: 0.2957
Epoka [1/200] | Batch [1181/6813] | Loss: 0.5489
Epoka [1/200] | Batch [1191/6813] | Loss: 0.3905
Epoka [1/200] | Batch [1201/6813] | Loss: 0.2388
Epoka [1/200] | Batch [1211/6813] | Loss: 0.4182
Epoka [1/200] | Batch [1221/6813] | Loss: 0.1357
Epoka [1/200] | Batch [1231/6813] | Loss: 0.3833
Epoka [1/200] | Batch [1241/6813] | Loss: 0.6207
Epoka [1/200] | Batch [1251/6813] | Loss: 0.2941
Epoka [1/200] | Batch [1261/6813] | Loss: 0.3468
Epoka [1/200] | Batch [1271/6813] | Loss: 0.4209
Epoka [1/200] | Batch [1281/6813] | Loss: 0.3484
Epoka [1/200] | Batch [1291/6813] | Loss: 0.2813
Epoka [1/200] | Batch [1301/6813] | Loss: 0.2940
Epoka [1/200] | Batch [1311/6813] | Loss: 0.4817
Epoka [1/200] | Batch [1321/6813] | Loss: 0.4840
Epoka [1/200] | Batch [1331/6813] | Loss: 0.3243
Epoka [1/200] | Batch [1341/6813] | Loss: 0.5258
Epoka [1/200] | Batch [1351/6813] | Loss: 0.3518
Epoka [1/200] | Batch [1361/6813] | Loss: 0.1970
Epoka [1/200] | Batch [1371/6813] | Loss: 0.2282
Epoka [1/200] | Batch [1381/6813] | Loss: 0.4356
Epoka [1/200] | Batch [1391/6813] | Loss: 0.0912
Epoka [1/200] | Batch [1401/6813] | Loss: 0.5723
Epoka [1/200] | Batch [1411/6813] | Loss: 0.4410
Epoka [1/200] | Batch [1421/6813] | Loss: 0.3839
Epoka [1/200] | Batch [1431/6813] | Loss: 0.3857
Epoka [1/200] | Batch [1441/6813] | Loss: 0.3829
Epoka [1/200] | Batch [1451/6813] | Loss: 0.3336
Epoka [1/200] | Batch [1461/6813] | Loss: 0.2619
Epoka [1/200] | Batch [1471/6813] | Loss: 0.2271
Epoka [1/200] | Batch [1481/6813] | Loss: 0.3195
Epoka [1/200] | Batch [1491/6813] | Loss: 0.2146
Epoka [1/200] | Batch [1501/6813] | Loss: 0.3615
Epoka [1/200] | Batch [1511/6813] | Loss: 0.4545
Epoka [1/200] | Batch [1521/6813] | Loss: 0.5211
Epoka [1/200] | Batch [1531/6813] | Loss: 0.4371
Epoka [1/200] | Batch [1541/6813] | Loss: 0.4032
Epoka [1/200] | Batch [1551/6813] | Loss: 0.2855
Epoka [1/200] | Batch [1561/6813] | Loss: 0.3276
Epoka [1/200] | Batch [1571/6813] | Loss: 0.3608
Epoka [1/200] | Batch [1581/6813] | Loss: 0.5167
Epoka [1/200] | Batch [1591/6813] | Loss: 0.0970
Epoka [1/200] | Batch [1601/6813] | Loss: 0.3845
Epoka [1/200] | Batch [1611/6813] | Loss: 0.5537
Epoka [1/200] | Batch [1621/6813] | Loss: 0.2494
Epoka [1/200] | Batch [1631/6813] | Loss: 0.5439
Epoka [1/200] | Batch [1641/6813] | Loss: 0.4777
Epoka [1/200] | Batch [1651/6813] | Loss: 0.1705
Epoka [1/200] | Batch [1661/6813] | Loss: 0.3210
Epoka [1/200] | Batch [1671/6813] | Loss: 0.2332
Epoka [1/200] | Batch [1681/6813] | Loss: 0.2644
Epoka [1/200] | Batch [1691/6813] | Loss: 0.3262
Epoka [1/200] | Batch [1701/6813] | Loss: 0.3999
Epoka [1/200] | Batch [1711/6813] | Loss: 0.3137
Epoka [1/200] | Batch [1721/6813] | Loss: 0.2892
Epoka [1/200] | Batch [1731/6813] | Loss: 0.2068
Epoka [1/200] | Batch [1741/6813] | Loss: 0.4332
Epoka [1/200] | Batch [1751/6813] | Loss: 0.4426
Epoka [1/200] | Batch [1761/6813] | Loss: 0.3500
Epoka [1/200] | Batch [1771/6813] | Loss: 0.1679
Epoka [1/200] | Batch [1781/6813] | Loss: 0.2465
